"id","date","done","elapsed_time","juridically_equivalent","original_text_comment","preference","reviewer","simplified_text_comment","variant","article_id"
"1","2024-12-01 13:57:33.020127","1","251","3",NULL,"simplified","Jurist1","L'espressione ""strutture che il suolo sostiene stabilmente"" non è appropriata nel linguaggio giuridico.  ","CHAIN","1"
"2","2024-12-01 14:36:00.102653","1","65","3","più preciso","simplified","Jurist2",NULL,"BASIC","1"
"3","2024-12-01 15:03:44.819937","1","226","4",NULL,"original","Jurist1",NULL,"CHAIN","2"
"4","2024-12-01 14:55:18.068701","1","113","3",NULL,"original","Jurist2",NULL,"BASIC","2"
"5","2024-12-01 14:28:46.491367","1","164","4","Si segnala l'errata espressione ""vigenti tempo per tempo"". ","simplified","Jurist1",NULL,"CHAIN","3"
"6","2024-12-01 13:43:42.603425","1","141","3","giuridicamente più orecchiabile","simplified","Jurist2","non contempla bene il principio di copertura integrale; linguaggio troppo semplice; il diritto ha anche una sua forma","BASIC","3"
"7","2024-12-01 14:46:09.060318","1","180","4",NULL,"simplified","Jurist1",NULL,"CHAIN","4"
"8","2024-12-01 15:05:21.135076","1","70","2","incompleto e semplice","simplified","Jurist2",NULL,"BASIC","4"
"9","2024-12-01 15:04:39.814835","1","54","4",NULL,"original","Jurist1",,"CHAIN","5"
"10","2024-12-01 13:48:45.429488","1","72","3","più preciso","simplified","Jurist2",NULL,"BASIC","5"
"11","2024-12-01 15:07:56.404815","1","195","4","Il testo A ha un linguaggio più formale e giuridico. ","original","Jurist1","Inutile ripetizione della parola ""Regolamento"" ad inizio di ogni frase. ","CHAIN","6"
"12","2024-12-01 14:31:50.879825","1","225","4",NULL,"original","Jurist2",NULL,"BASIC","6"
"13","2024-12-01 13:53:20.497527","1","390","2","Il testo B ha linguaggio giuridico più puntuale e contiene il riferimento al ""rispetto dei principi dell'ordinamento delle autonomie locali"".","simplified","Jurist1","Il testo ha riporta costruzioni linguistiche errate. Si segnala, rispetto al testo B, l'assenza del riferimento al ""rispetto dei principi dell'ordinamento delle autonomie locali"".","CHAIN","7"
"14","2024-12-01 14:26:56.095468","1","110","3",NULL,"simplified","Jurist2",NULL,"BASIC","7"
"15","2024-12-01 14:51:54.522768","1","144","4",NULL,"simplified","Jurist1",NULL,"CHAIN","8"
